rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.174557,3226,60.9,6.8,8.8,1.5,,7.1,,3.3,10.6,1.0,0.0,,0.0,,,,,,,0,0.0,0.0,1,850.0,2.0,0,0,1,0,0.0,0.0,0,0,5.46,7.35,742.02,181.1,1674.8,1953.9,12.2,419.8,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
2,0.151445,3209,76.6,7.8,8.3,2.2,,2.0,,0.9,0.5,1.3,0.3,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.74,8.05,756.52,173.0,1638.4,1908.4,15.8,184.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
3,0.151899,3364,77.9,2.4,7.6,5.9,,1.1,,3.4,0.8,0.4,0.1,,0.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.84,3.0,699.13,173.2,1453.7,1689.3,13.5,169.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
4,0.198583,3603,80.4,9.8,9.1,0.2,,0.1,,0.3,0.0,0.1,0.0,,0.0,,,,,,,0,0.0,0.0,1,750.0,12.0,0,0,1,0,0.0,0.0,0,0,-3.28,9.85,789.76,189.5,1477.8,1809.8,12.4,351.0,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
5,0.174191,3847,74.2,2.9,0.3,2.1,,5.7,,13.8,0.4,0.2,0.0,,0.4,,,,,,,0,0.0,0.0,1,825.0,3.0,0,1,0,1,200.0,15.0,1,0,1.06,5.2,762.02,181.0,1551.3,1755.4,0.3,379.7,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
6,0.170146,3801,76.7,8.2,9.0,2.0,,3.7,,0.4,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,1.03,8.27,766.06,179.6,1705.8,1977.0,14.5,200.7,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
7,0.168393,3037,78.9,0.0,9.3,5.2,,6.5,,0.1,0.0,0.0,0.0,,0.0,,,,,,,1,950.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,14.55,0.02,708.65,178.9,1626.2,1828.5,18.0,190.3,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
8,0.087975,3450,62.1,9.3,7.8,5.0,,6.8,,8.5,0.2,0.3,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,4.28,10.72,687.49,150.8,1956.5,2265.6,17.9,296.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
9,0.120231,3252,76.5,2.8,7.3,8.3,,5.1,,0.0,0.0,0.0,0.0,,0.0,,,,,,,1,1025.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,15.37,2.8,701.31,162.1,1656.7,1847.4,24.5,185.0,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
10,0.116179,3523,84.6,8.7,6.4,0.2,,0.1,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-4.09,8.7,822.33,160.7,1542.5,1808.8,16.0,110.5,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.266667,neutral,0.0,inf,273.0,0.333333
