rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.058916,8351,79.6,2.0,8.1,7.0,,2.0,,1.1,0.0,0.0,0.0,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,14.67,2.18,698.33,181.9,1461.8,1708.4,13.9,165.2,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
2,0.047709,8325,76.6,9.6,7.3,3.8,,2.5,,0.0,0.0,0.0,0.0,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,1.42,9.6,770.04,170.1,1711.8,2000.2,18.5,208.4,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
3,0.0436,8416,73.9,3.3,9.6,0.0,,6.7,,4.3,1.8,0.0,0.4,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,3.64,4.15,747.66,165.8,1737.1,1972.9,7.5,203.0,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
4,0.04931,8663,62.8,10.0,9.0,4.8,,0.8,,6.8,0.5,1.2,2.3,,1.8,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,5.45,11.9,690.06,171.8,1754.1,2057.8,19.6,242.4,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
5,0.038325,8299,77.1,9.4,5.9,5.2,,1.3,,1.1,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2.87,9.58,761.61,160.2,1678.2,1957.2,20.3,189.9,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
6,0.036371,8074,76.7,5.7,6.4,6.0,,2.8,,0.2,2.2,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.8,5.73,744.47,158.2,1617.6,1882.6,16.0,185.2,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
7,0.060197,8767,78.7,5.6,8.4,5.8,,0.4,,0.4,0.0,0.4,0.2,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.73,5.73,718.74,183.2,1498.1,1760.6,16.2,151.7,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
8,0.051663,8793,83.1,7.1,8.4,0.5,,0.9,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-0.67,7.1,791.74,174.2,1516.0,1773.7,13.0,115.1,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
9,0.051517,8468,76.1,8.3,9.8,0.1,,1.9,,0.3,1.6,1.7,0.0,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.62,8.35,764.36,174.1,1628.0,1883.1,15.4,162.2,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
10,0.051014,8702,62.9,1.7,10.0,9.7,,7.6,,1.9,6.1,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,22.25,2.02,637.09,173.6,1729.5,2000.7,20.5,165.6,maximize,120.0,inf,70.0,0.066667,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
