rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.150178,9291,82.6,0.1,6.6,7.5,,2.5,,0.0,0.2,0.2,0.0,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,16.64,0.1,711.68,172.6,1437.5,1666.1,13.6,157.7,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
2,0.146117,9776,69.0,1.5,7.7,8.9,,4.3,,4.1,0.6,0.6,2.1,,1.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,18.93,2.88,661.43,171.1,1650.9,1906.1,19.5,196.3,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
3,0.144955,9646,67.2,4.8,9.1,5.2,,2.9,,8.4,1.8,0.2,0.1,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.39,6.23,662.34,170.7,1635.8,1904.8,14.6,212.1,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
4,0.133892,9161,83.7,0.6,6.0,3.3,,6.1,,0.0,0.0,0.0,0.3,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.7,0.7,773.79,166.9,1631.4,1865.7,9.1,221.3,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
5,0.133065,9568,84.8,4.6,6.3,3.4,,0.2,,0.5,0.0,0.0,0.0,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,5.1,4.68,772.73,166.6,1438.7,1685.3,12.9,119.4,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
6,0.129865,9724,74.7,5.6,9.1,0.8,,1.6,,5.2,2.0,0.7,0.0,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,3.1,6.47,734.17,165.5,1555.4,1794.0,11.1,157.4,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
7,0.122418,9317,68.8,9.4,7.8,6.8,,6.2,,0.6,0.0,0.3,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,7.03,9.5,720.43,162.8,1882.8,2198.9,21.6,256.9,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
8,0.118231,9659,81.1,3.3,5.5,6.4,,3.1,,0.2,0.4,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.74,3.33,745.21,161.4,1568.4,1817.8,14.0,184.4,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
9,0.117663,9594,85.0,7.0,6.7,0.6,,0.2,,0.3,0.2,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-1.5,7.05,808.31,161.2,1493.2,1749.3,13.5,99.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
10,0.117064,9438,70.9,6.5,7.4,6.0,,7.0,,1.0,0.4,0.8,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,8.97,6.67,721.23,161.0,1845.6,2144.0,18.8,250.5,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.133333,neutral,0.0,inf,13.5,0.333333,neutral,0.0,inf,273.0,0.266667
