rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.140695,2012,74.9,4.9,7.2,6.7,,2.8,,1.5,0.4,0.3,1.0,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.12,5.48,717.26,169.2,1624.0,1888.8,17.2,204.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
2,0.18022,2824,77.6,1.0,8.2,8.1,,4.3,,0.7,0.0,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,17.48,1.12,684.5,183.1,1555.5,1815.2,15.4,181.8,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
3,0.180196,2694,79.3,9.8,5.1,1.6,,0.8,,0.2,3.0,0.2,0.0,,0.0,,,,,,,0,0.0,0.0,1,825.0,6.0,0,0,1,0,0.0,0.0,0,0,-2.78,9.83,819.76,183.1,1533.0,1789.0,15.6,371.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
4,0.180133,2841,83.8,8.0,3.7,0.6,,1.7,,1.2,0.9,0.1,0.0,,0.0,,,,,,,0,0.0,0.0,1,675.0,0.25,0,0,1,0,0.0,0.0,0,0,-4.21,8.2,838.65,183.0,1481.3,1699.1,20.3,321.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
5,0.085329,2631,84.0,0.5,4.1,8.4,,2.8,,0.0,0.1,0.0,0.1,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,15.72,0.53,733.45,149.9,1484.0,1706.0,16.8,162.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
6,0.072555,2644,81.6,1.2,6.4,1.1,,2.0,,0.9,6.0,0.3,0.3,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,6.87,1.45,787.89,145.4,1429.2,1633.7,7.9,130.1,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
7,0.058946,2473,86.8,9.5,3.5,0.1,,0.1,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-7.0,9.5,859.44,140.6,1578.6,1846.4,19.5,102.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
8,0.030294,2137,76.8,8.0,0.4,9.7,,1.9,,1.0,0.3,1.0,0.7,,0.2,,,,,,,1,1100.0,60.0,1,1050.0,4.0,0,0,1,0,0.0,0.0,0,0,8.92,8.4,763.25,130.6,1473.1,1675.7,22.5,360.2,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
9,0.048463,2440,88.7,5.6,3.3,1.3,,0.4,,0.5,0.2,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-1.25,5.68,835.64,137.0,1477.3,1719.1,13.1,101.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
10,0.114349,2575,77.5,6.1,1.0,7.9,,0.0,,5.9,1.4,0.2,0.0,,0.0,,,,,,,0,0.0,0.0,1,950.0,0.083,1,0,0,0,0.0,0.0,0,0,7.8,7.08,744.81,160.0,1486.4,1796.2,16.7,241.6,maximize,120.0,inf,70.0,0.2,neutral,1400.0,inf,813.0,0.266667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.066667,neutral,0.0,inf,273.0,0.133333
