rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.249831,4833,76.0,5.3,10.0,2.5,,3.4,,2.2,0.5,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,5.56,5.67,729.7,185.6,1610.0,1872.3,10.8,183.5,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
2,0.236452,4997,68.0,9.5,9.9,8.1,,1.2,,1.3,1.3,0.7,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.16,9.72,671.5,182.1,1672.5,1980.3,21.9,190.1,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
3,0.227248,4632,78.1,2.1,8.1,4.7,,2.7,,0.9,1.1,0.0,0.9,,1.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11.46,2.55,731.53,179.7,1505.6,1757.4,11.7,180.3,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
4,0.213796,4593,84.6,1.8,7.7,2.0,,3.8,,0.0,0.0,0.0,0.1,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,6.56,1.83,771.14,176.1,1534.8,1758.7,8.2,162.0,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
5,0.198325,4872,75.0,6.5,7.7,6.6,,2.9,,0.0,0.8,0.0,0.2,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,9.51,6.57,725.77,172.1,1648.0,1927.4,18.1,195.7,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
6,0.114535,4924,86.4,7.7,5.1,0.3,,0.0,,0.0,0.2,0.0,0.2,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-3.72,7.77,835.2,150.1,1512.5,1770.5,15.1,96.0,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
7,0.174378,4743,66.7,4.4,8.9,4.4,,4.2,,6.1,3.1,1.3,0.6,,0.3,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.84,5.62,681.06,165.8,1693.6,1962.0,14.8,223.7,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
8,0.08347,4524,80.9,0.3,3.9,9.6,,3.9,,0.9,0.4,0.0,0.0,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,17.81,0.45,714.24,141.9,1544.7,1774.9,20.1,164.5,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
9,0.076008,4511,86.4,5.2,3.3,3.9,,0.8,,0.4,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,3.25,5.27,804.03,140.0,1505.6,1749.6,14.0,135.9,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
10,0.063817,4563,79.8,2.7,4.8,2.1,,1.2,,1.5,4.7,0.6,0.7,,1.9,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,6.21,3.18,792.51,136.8,1464.4,1680.3,10.7,142.8,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.066667,neutral,1600.0,inf,932.0,0.333333,neutral,0.0,inf,13.5,0.133333,neutral,0.0,inf,273.0,0.2
