rank,reward,train_step,Ti,Al,V,Cr,Mn,Fe,Cu,Zr,Nb,Mo,Sn,Hf,Ta,W,Si,C,N,O,Sc,Is_Wrought,Def_Temp,Def_Strain,HT1,HT1_Temp,HT1_Time,HT1_Quench,HT1_Air,HT1_Furnace,HT2,HT2_Temp,HT2_Time,HT2_Quench,HT2_Air,Mo_eq,Al_eq,beta_transform_T,YM,YS,UTS,El,HV,YM_objective_trend,YM_objective_lower,YM_objective_upper,YM_objective_scale,YM_weight,YS_objective_trend,YS_objective_lower,YS_objective_upper,YS_objective_scale,YS_weight,UTS_objective_trend,UTS_objective_lower,UTS_objective_upper,UTS_objective_scale,UTS_weight,El_objective_trend,El_objective_lower,El_objective_upper,El_objective_scale,El_weight,HV_objective_trend,HV_objective_lower,HV_objective_upper,HV_objective_scale,HV_weight
1,0.194033,7823,77.1,8.0,7.0,6.2,,1.3,,0.0,0.0,0.0,0.0,,0.4,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,6.7,8.0,741.18,170.9,1624.4,1898.4,19.2,175.7,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
2,0.144338,7002,74.3,5.3,6.9,2.0,,4.7,,5.4,0.0,0.7,0.6,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,3.24,6.4,746.12,157.9,1745.3,1993.6,11.8,217.5,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
3,0.226409,7240,74.5,7.7,8.3,9.0,,0.5,,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12.26,7.7,691.33,179.4,1577.4,1869.4,21.9,168.3,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
4,0.212039,7918,68.4,6.7,9.9,2.4,,5.2,,6.1,0.0,0.4,0.0,,0.9,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,4.37,7.72,704.32,175.7,1786.2,2059.3,13.4,246.0,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
5,0.177958,7511,66.0,4.1,8.4,10.0,,4.6,,6.5,0.4,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,17.64,5.18,625.64,166.7,1722.5,1994.4,19.7,212.3,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
6,0.126904,7810,78.9,7.5,6.8,0.0,,0.8,,0.3,3.5,0.0,1.5,,0.7,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,-1.81,8.05,821.74,153.3,1550.8,1810.6,13.2,132.9,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
7,0.16476,7849,66.3,5.9,7.8,7.6,,6.8,,3.4,0.6,1.4,0.0,,0.2,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,13.1,6.47,673.63,163.2,1851.8,2140.8,20.6,250.3,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
8,0.235456,7641,72.6,5.2,9.3,4.5,,1.6,,0.6,0.7,4.8,0.0,,0.7,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,13.38,5.3,678.99,181.8,1596.0,1856.1,17.9,184.8,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
9,0.156063,7305,70.1,7.3,7.0,8.1,,7.0,,0.0,0.2,0.0,0.2,,0.1,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,10.43,7.37,717.56,161.0,1861.8,2167.7,22.1,247.1,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
10,0.220708,7944,81.5,4.9,9.9,0.6,,1.0,,0.8,1.3,0.0,0.0,,0.0,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,3.06,5.03,762.69,177.9,1445.9,1690.0,10.0,104.3,maximize,120.0,inf,70.0,0.266667,neutral,1400.0,inf,813.0,0.133333,neutral,1600.0,inf,932.0,0.066667,neutral,0.0,inf,13.5,0.2,neutral,0.0,inf,273.0,0.333333
