0.000000	34.684316	3.944351
1.000000	4.834373	5.100776
2.000000	5.505867	5.424170
3.000000	5.584993	5.373541
4.000000	5.386495	5.174152
5.000000	5.175876	5.048550
6.000000	5.053460	4.874930
7.000000	4.890593	4.705129
8.000000	4.726296	4.525268
9.000000	4.555738	4.348937
10.000000	4.379887	4.182195
11.000000	4.206681	3.961093
12.000000	4.028976	3.778557
13.000000	3.883664	3.668210
14.000000	3.768129	3.557734
15.000000	3.647979	3.422025
16.000000	3.503782	3.259648
17.000000	3.359287	3.123770
18.000000	3.190654	2.983584
19.000000	3.039907	2.809575
20.000000	2.878308	2.664733
21.000000	2.724314	2.515266
22.000000	2.571974	2.360339
23.000000	2.437412	2.226322
24.000000	2.308222	2.103756
25.000000	2.204026	1.996372
26.000000	2.076421	1.867808
27.000000	1.950537	1.744353
28.000000	1.831932	1.634270
29.000000	1.710713	1.509114
30.000000	1.586385	1.379056
31.000000	1.459220	1.252856
32.000000	1.327023	1.131703
33.000000	1.176317	0.966778
34.000000	1.032776	0.848416
35.000000	0.916708	0.763991
36.000000	36.744160	3.942018
37.000000	5.835401	7.222149
38.000000	7.621293	7.882162
39.000000	7.840160	7.818508
40.000000	7.692416	7.582893
41.000000	7.422285	7.303361
42.000000	7.150880	7.035226
43.000000	6.894158	6.771056
44.000000	6.700982	6.595085
45.000000	6.490322	6.393202
46.000000	6.277095	6.170420
47.000000	6.061715	5.953398
48.000000	5.838711	5.751677
49.000000	5.621862	5.527164
50.000000	5.418175	5.323707
51.000000	5.214987	5.121926
52.000000	5.015412	4.939433
53.000000	4.823157	4.755429
54.000000	4.631931	4.561802
55.000000	4.451984	4.392685
56.000000	4.274481	4.251370
57.000000	4.117249	4.054968
58.000000	3.949453	3.921246
59.000000	3.791504	3.759107
60.000000	3.637415	3.608982
61.000000	3.499453	3.464402
62.000000	3.336037	3.308875
63.000000	3.172786	3.169429
64.000000	12.686129	3.371925
65.000000	3.979020	4.286634
66.000000	4.563245	4.384634
67.000000	4.582648	4.311651
68.000000	4.488830	4.210946
69.000000	4.382655	4.101833
70.000000	4.277454	3.989186
71.000000	4.152794	3.878941
72.000000	4.045540	3.764962
73.000000	3.933248	3.656966
74.000000	3.819899	3.543402
75.000000	3.699994	3.425773
76.000000	3.585888	3.316058
77.000000	3.465020	3.193193
78.000000	3.341917	3.072557
79.000000	3.214043	2.946776
80.000000	3.084256	2.825639
81.000000	2.959491	2.682619
82.000000	2.818059	2.554934
83.000000	2.677613	2.404780
84.000000	2.527401	2.257211
85.000000	2.370632	2.106351
86.000000	2.215501	1.956988
87.000000	2.054003	1.788378
88.000000	2.054956	2.151385
89.000000	2.484671	2.482648
90.000000	2.624816	2.520502
91.000000	2.605343	2.458859
92.000000	2.524691	2.376206
93.000000	2.439272	2.291836
94.000000	2.337834	2.184228
95.000000	2.237023	2.094192
96.000000	2.137005	1.974130
97.000000	2.023057	1.866128
98.000000	1.931487	1.810485
99.000000	1.877807	1.754066
100.000000	1.817695	1.696199
101.000000	1.761373	1.639053
102.000000	1.700670	1.582671
103.000000	1.643115	1.520945
104.000000	1.580541	1.458852
105.000000	1.518884	1.399068
106.000000	1.455816	1.336135
107.000000	1.391262	1.279945
108.000000	1.333190	1.224203
109.000000	1.276240	1.171496
110.000000	1.218580	1.115094
111.000000	1.168129	1.072178
112.000000	1.115671	1.027289
113.000000	1.300880	1.282091
114.000000	2.567659	1.694943
115.000000	2.022969	2.126153
116.000000	2.246803	2.205870
117.000000	2.259984	2.185770
118.000000	2.227812	2.135276
119.000000	2.174456	2.075056
120.000000	2.118932	2.017932
121.000000	2.056332	1.964680
122.000000	1.998685	1.903906
123.000000	1.940189	1.848071
124.000000	1.884315	1.790020
125.000000	1.825644	1.732825
126.000000	1.765081	1.677293
127.000000	1.895678	1.998604
128.000000	2.147369	2.129157
129.000000	2.200476	2.123362
130.000000	2.190415	2.105397
131.000000	2.167135	2.081419
