0.000000	81.842881	2.686013
1.000000	2.578897	2.412764
2.000000	2.381019	2.273169
3.000000	2.218812	2.113693
4.000000	2.042407	1.954594
5.000000	1.903394	1.840547
6.000000	1.793074	1.726138
7.000000	2.295210	4.361089
8.000000	3.536756	3.779667
9.000000	2.663018	1.562666
10.000000	1.411857	1.237541
11.000000	1.274879	1.337907
12.000000	1.222417	0.960568
13.000000	0.875203	0.799751
14.000000	0.723960	0.679791
15.000000	69.111597	82.896409
16.000000	24.476240	15.927781
17.000000	15.823158	15.087522
18.000000	14.977742	14.240223
19.000000	14.155690	13.412345
20.000000	13.355048	12.609103
21.000000	12.571526	11.822100
22.000000	11.810581	11.090671
23.000000	11.090678	10.397293
24.000000	10.396664	9.743577
25.000000	9.733568	9.119580
26.000000	9.097328	8.525947
27.000000	8.468763	7.915034
28.000000	7.819447	7.264164
29.000000	7.122187	6.562645
30.000000	6.349597	5.766952
31.000000	5.460853	4.838968
32.000000	4.412643	3.685965
33.000000	6.145268	7.387070
34.000000	5.498862	5.284870
35.000000	8.907116	6.729107
36.000000	6.264708	5.713175
37.000000	5.291605	4.721635
38.000000	4.463063	3.869299
39.000000	45.885891	15.674955
40.000000	21.981907	28.030004
41.000000	26.983171	19.535584
42.000000	15.634028	12.895194
43.000000	10.038154	8.450236
44.000000	8.036378	7.163526
45.000000	6.755902	5.850826
46.000000	5.781838	5.231677
47.000000	5.200498	4.692806
48.000000	4.670973	4.191321
49.000000	4.144763	3.669942
50.000000	3.575972	3.087132
51.000000	2.965702	2.541615
52.000000	8.463734	7.785794
53.000000	7.502532	7.227958
54.000000	6.955151	6.683132
55.000000	7.437239	7.268098
56.000000	7.381859	6.873662
57.000000	6.986386	6.503437
58.000000	6.609166	6.145439
59.000000	6.239843	5.792848
60.000000	5.875372	5.445372
61.000000	5.513533	5.099118
62.000000	5.151968	4.753825
63.000000	4.790678	4.407938
64.000000	4.426911	4.057893
65.000000	4.058908	3.704247
66.000000	3.687454	3.348302
